id,customer_id,building_id,unit_number,postal_code
ADDRESS_000000001,CUSTOMER_000000001,BUILDING_004,A601,440015
ADDRESS_000000002,CUSTOMER_000000002,BUILDING_010,A1503,560066
ADDRESS_000000003,CUSTOMER_000000003,BUILDING_010,A1001,560066
ADDRESS_000000004,CUSTOMER_000000004,BUILDING_008,A803,411038
ADDRESS_000000005,CUSTOMER_000000005,BUILDING_002,B504,440015
ADDRESS_000000006,CUSTOMER_000000006,BUILDING_010,A503,560066
ADDRESS_000000007,CUSTOMER_000000007,BUILDING_002,B503,440015
ADDRESS_000000008,CUSTOMER_000000008,BUILDING_002,B503,440015
ADDRESS_000000009,CUSTOMER_000000009,BUILDING_005,B402,440015
ADDRESS_000000010,CUSTOMER_000000010,BUILDING_009,A1003,380009
ADDRESS_000000011,CUSTOMER_000000011,BUILDING_009,A601,380009
ADDRESS_000000012,CUSTOMER_000000012,BUILDING_008,A502,411038
ADDRESS_000000013,CUSTOMER_000000013,BUILDING_009,A504,380009
ADDRESS_000000014,CUSTOMER_000000014,BUILDING_005,B101,440015
ADDRESS_000000015,CUSTOMER_000000015,BUILDING_003,C602,440015
ADDRESS_000000016,CUSTOMER_000000016,BUILDING_004,A404,440015
ADDRESS_000000017,CUSTOMER_000000017,BUILDING_009,A902,380009
ADDRESS_000000018,CUSTOMER_000000018,BUILDING_006,A802,440015
ADDRESS_000000019,CUSTOMER_000000019,BUILDING_006,A401,440015
ADDRESS_000000020,CUSTOMER_000000020,BUILDING_002,B602,440015
ADDRESS_000000021,CUSTOMER_000000021,BUILDING_007,A904,440010
ADDRESS_000000022,CUSTOMER_000000022,BUILDING_004,A502,440015
ADDRESS_000000023,CUSTOMER_000000023,BUILDING_010,A702,560066
ADDRESS_000000024,CUSTOMER_000000024,BUILDING_003,C204,440015
ADDRESS_000000025,CUSTOMER_000000025,BUILDING_003,C403,440015
ADDRESS_000000026,CUSTOMER_000000026,BUILDING_004,A403,440015
ADDRESS_000000027,CUSTOMER_000000027,BUILDING_004,A101,440015
ADDRESS_000000028,CUSTOMER_000000028,BUILDING_002,B701,440015
ADDRESS_000000029,CUSTOMER_000000029,BUILDING_003,C603,440015
ADDRESS_000000030,CUSTOMER_000000030,BUILDING_008,A502,411038
ADDRESS_000000031,CUSTOMER_000000031,BUILDING_008,A601,411038
ADDRESS_000000032,CUSTOMER_000000032,BUILDING_004,A502,440015
ADDRESS_000000033,CUSTOMER_000000033,BUILDING_008,A402,411038
ADDRESS_000000034,CUSTOMER_000000034,BUILDING_010,A401,560066
ADDRESS_000000035,CUSTOMER_000000035,BUILDING_003,C504,440015
ADDRESS_000000036,CUSTOMER_000000036,BUILDING_010,A902,560066
ADDRESS_000000037,CUSTOMER_000000037,BUILDING_008,A102,411038
ADDRESS_000000038,CUSTOMER_000000038,BUILDING_002,B602,440015
ADDRESS_000000039,CUSTOMER_000000039,BUILDING_008,A404,411038
ADDRESS_000000040,CUSTOMER_000000040,BUILDING_007,A703,440010
ADDRESS_000000041,CUSTOMER_000000041,BUILDING_008,A204,411038
ADDRESS_000000042,CUSTOMER_000000042,BUILDING_010,A503,560066
ADDRESS_000000043,CUSTOMER_000000043,BUILDING_006,A301,440015
ADDRESS_000000044,CUSTOMER_000000044,BUILDING_008,A704,411038
ADDRESS_000000045,CUSTOMER_000000045,BUILDING_006,A602,440015
ADDRESS_000000046,CUSTOMER_000000046,BUILDING_006,A304,440015
ADDRESS_000000047,CUSTOMER_000000047,BUILDING_008,A402,411038
ADDRESS_000000048,CUSTOMER_000000048,BUILDING_009,A504,380009
ADDRESS_000000049,CUSTOMER_000000049,BUILDING_005,B102,440015
ADDRESS_000000050,CUSTOMER_000000050,BUILDING_002,B403,440015
ADDRESS_000000051,CUSTOMER_000000051,BUILDING_009,A802,380009
ADDRESS_000000052,CUSTOMER_000000052,BUILDING_007,A204,440010
ADDRESS_000000053,CUSTOMER_000000053,BUILDING_010,A602,560066
ADDRESS_000000054,CUSTOMER_000000054,BUILDING_008,A303,411038
ADDRESS_000000055,CUSTOMER_000000055,BUILDING_003,C801,440015
ADDRESS_000000056,CUSTOMER_000000056,BUILDING_008,A204,411038
ADDRESS_000000057,CUSTOMER_000000057,BUILDING_009,A102,380009
ADDRESS_000000058,CUSTOMER_000000058,BUILDING_005,B501,440015
ADDRESS_000000059,CUSTOMER_000000059,BUILDING_001,A301,440015
ADDRESS_000000060,CUSTOMER_000000060,BUILDING_003,C202,440015
ADDRESS_000000061,CUSTOMER_000000061,BUILDING_002,B103,440015
ADDRESS_000000062,CUSTOMER_000000062,BUILDING_007,A804,440010
ADDRESS_000000063,CUSTOMER_000000063,BUILDING_002,B801,440015
ADDRESS_000000064,CUSTOMER_000000064,BUILDING_002,B703,440015
ADDRESS_000000065,CUSTOMER_000000065,BUILDING_005,B102,440015
ADDRESS_000000066,CUSTOMER_000000066,BUILDING_009,A604,380009
ADDRESS_000000067,CUSTOMER_000000067,BUILDING_006,A104,440015
ADDRESS_000000068,CUSTOMER_000000068,BUILDING_005,B601,440015
ADDRESS_000000069,CUSTOMER_000000069,BUILDING_002,B301,440015
ADDRESS_000000070,CUSTOMER_000000070,BUILDING_001,A202,440015
ADDRESS_000000071,CUSTOMER_000000071,BUILDING_009,A702,380009
ADDRESS_000000072,CUSTOMER_000000072,BUILDING_006,A403,440015
ADDRESS_000000073,CUSTOMER_000000073,BUILDING_001,A704,440015
ADDRESS_000000074,CUSTOMER_000000074,BUILDING_001,A301,440015
ADDRESS_000000075,CUSTOMER_000000075,BUILDING_001,A402,440015
ADDRESS_000000076,CUSTOMER_000000076,BUILDING_007,A1101,440010
ADDRESS_000000077,CUSTOMER_000000077,BUILDING_003,C502,440015
ADDRESS_000000078,CUSTOMER_000000078,BUILDING_002,B802,440015
ADDRESS_000000079,CUSTOMER_000000079,BUILDING_006,A102,440015
ADDRESS_000000080,CUSTOMER_000000080,BUILDING_009,A604,380009
ADDRESS_000000081,CUSTOMER_000000081,BUILDING_003,C202,440015
ADDRESS_000000082,CUSTOMER_000000082,BUILDING_008,A304,411038
ADDRESS_000000083,CUSTOMER_000000083,BUILDING_002,B404,440015
ADDRESS_000000084,CUSTOMER_000000084,BUILDING_009,A304,380009
ADDRESS_000000085,CUSTOMER_000000085,BUILDING_004,A303,440015
ADDRESS_000000086,CUSTOMER_000000086,BUILDING_005,B204,440015
ADDRESS_000000087,CUSTOMER_000000087,BUILDING_008,A103,411038
ADDRESS_000000088,CUSTOMER_000000088,BUILDING_007,A603,440010
ADDRESS_000000089,CUSTOMER_000000089,BUILDING_007,A301,440010
