id,session_id,customer_id,event_type,event_timestamp,product_id
EVENT_000000001,SESSION_000000001,CUSTOMER_000000001,PURCHASE,2026-01-09T01:23:23,PRODUCT_000000317
EVENT_000000002,SESSION_000000001,CUSTOMER_000000001,SESSION_END,2026-01-09T00:48:44,
EVENT_000000003,SESSION_000000001,CUSTOMER_000000001,PURCHASE,2026-01-09T01:06:06,PRODUCT_000000321
EVENT_000000004,SESSION_000000001,CUSTOMER_000000001,PRODUCT_VIEW,2026-01-09T01:40:12,PRODUCT_000000289
EVENT_000000005,SESSION_000000001,CUSTOMER_000000001,CHECKOUT,2026-01-09T00:16:37,
EVENT_000000006,SESSION_000000001,CUSTOMER_000000001,SESSION_START,2026-01-09T01:35:34,
EVENT_000000007,SESSION_000000001,CUSTOMER_000000001,ADD_TO_CART,2026-01-09T01:39:40,PRODUCT_000000379
EVENT_000000008,SESSION_000000001,CUSTOMER_000000001,PRODUCT_VIEW,2026-01-09T00:43:12,PRODUCT_000000496
EVENT_000000009,SESSION_000000002,CUSTOMER_000000002,PURCHASE,2026-07-16T04:14:58,PRODUCT_000000411
EVENT_000000010,SESSION_000000002,CUSTOMER_000000002,CHECKOUT,2026-07-16T04:10:40,
EVENT_000000011,SESSION_000000002,CUSTOMER_000000002,PAGE_VIEW,2026-07-16T04:15:15,
EVENT_000000012,SESSION_000000002,CUSTOMER_000000002,SESSION_START,2026-07-16T04:05:48,
EVENT_000000013,SESSION_000000002,CUSTOMER_000000002,SESSION_END,2026-07-16T03:51:18,
EVENT_000000014,SESSION_000000002,CUSTOMER_000000002,CHECKOUT,2026-07-16T04:05:23,
EVENT_000000015,SESSION_000000002,CUSTOMER_000000002,ADD_TO_CART,2026-07-16T04:03:06,PRODUCT_000000193
EVENT_000000016,SESSION_000000002,CUSTOMER_000000002,SESSION_END,2026-07-16T03:56:55,
EVENT_000000017,SESSION_000000003,CUSTOMER_000000003,CHECKOUT,2026-03-25T11:10:58,
EVENT_000000018,SESSION_000000003,CUSTOMER_000000003,ADD_TO_CART,2026-03-25T11:03:42,PRODUCT_000000441
