id,order_id,product_id,quantity,unit_price,line_amount
ORDER_000000001_ITEM_001,ORDER_000000001,PRODUCT_000000477,3,34213.73,102641.19
ORDER_000000001_ITEM_002,ORDER_000000001,PRODUCT_000000284,2,52740.98,105481.96
ORDER_000000002_ITEM_001,ORDER_000000002,PRODUCT_000000325,5,91157.02,455785.10
ORDER_000000002_ITEM_002,ORDER_000000002,PRODUCT_000000099,3,59416.14,178248.42
ORDER_000000003_ITEM_001,ORDER_000000003,PRODUCT_000000380,2,93956.98,187913.96
ORDER_000000003_ITEM_002,ORDER_000000003,PRODUCT_000000296,1,70407.60,70407.60
ORDER_000000004_ITEM_001,ORDER_000000004,PRODUCT_000000033,1,59473.18,59473.18
ORDER_000000004_ITEM_002,ORDER_000000004,PRODUCT_000000291,1,33738.44,33738.44
ORDER_000000005_ITEM_001,ORDER_000000005,PRODUCT_000000344,2,13564.58,27129.16
ORDER_000000005_ITEM_002,ORDER_000000005,PRODUCT_000000313,5,78393.88,391969.40
ORDER_000000006_ITEM_001,ORDER_000000006,PRODUCT_000000383,3,65069.36,195208.08
ORDER_000000006_ITEM_002,ORDER_000000006,PRODUCT_000000191,5,20618.01,103090.05
ORDER_000000007_ITEM_001,ORDER_000000007,PRODUCT_000000276,4,26042.65,104170.60
ORDER_000000007_ITEM_002,ORDER_000000007,PRODUCT_000000415,4,20102.52,80410.08
ORDER_000000008_ITEM_001,ORDER_000000008,PRODUCT_000000250,4,32962.82,131851.28
ORDER_000000008_ITEM_002,ORDER_000000008,PRODUCT_000000190,1,79837.50,79837.50
ORDER_000000009_ITEM_001,ORDER_000000009,PRODUCT_000000093,4,26921.42,107685.68
ORDER_000000009_ITEM_002,ORDER_000000009,PRODUCT_000000182,5,18496.63,92483.15
ORDER_000000010_ITEM_001,ORDER_000000010,PRODUCT_000000011,2,63068.83,126137.66
ORDER_000000010_ITEM_002,ORDER_000000010,PRODUCT_000000377,5,15674.69,78373.45
ORDER_000000011_ITEM_001,ORDER_000000011,PRODUCT_000000434,1,99501.96,99501.96
ORDER_000000011_ITEM_002,ORDER_000000011,PRODUCT_000000107,2,40104.99,80209.98
ORDER_000000012_ITEM_001,ORDER_000000012,PRODUCT_000000196,2,17819.13,35638.26
ORDER_000000012_ITEM_002,ORDER_000000012,PRODUCT_000000429,3,42802.74,128408.22
ORDER_000000013_ITEM_001,ORDER_000000013,PRODUCT_000000402,4,65735.49,262941.96
ORDER_000000013_ITEM_002,ORDER_000000013,PRODUCT_000000174,5,35727.47,178637.35
ORDER_000000014_ITEM_001,ORDER_000000014,PRODUCT_000000222,2,45653.68,91307.36
ORDER_000000014_ITEM_002,ORDER_000000014,PRODUCT_000000303,5,11076.17,55380.85
ORDER_000000015_ITEM_001,ORDER_000000015,PRODUCT_000000071,4,56670.04,226680.16
ORDER_000000015_ITEM_002,ORDER_000000015,PRODUCT_000000478,2,98682.76,197365.52
ORDER_000000016_ITEM_001,ORDER_000000016,PRODUCT_000000138,5,35480.14,177400.70
ORDER_000000016_ITEM_002,ORDER_000000016,PRODUCT_000000055,5,44501.12,222505.60
ORDER_000000017_ITEM_001,ORDER_000000017,PRODUCT_000000213,1,11241.93,11241.93
ORDER_000000017_ITEM_002,ORDER_000000017,PRODUCT_000000204,4,56708.76,226835.04
