id,order_id,payment_method,payment_status,amount,payment_date
ORDER_000000001_PAYMENT,ORDER_000000001,UPI,SUCCESS,51910.88,2026-12-05T02:44:30
ORDER_000000002_PAYMENT,ORDER_000000002,WALLET,SUCCESS,19788.74,2026-01-29T17:27:22
ORDER_000000003_PAYMENT,ORDER_000000003,CREDIT_CARD,SUCCESS,12110.45,2026-11-29T13:24:03
ORDER_000000004_PAYMENT,ORDER_000000004,WALLET,SUCCESS,135090.35,2026-07-04T20:15:15
ORDER_000000005_PAYMENT,ORDER_000000005,NET_BANKING,SUCCESS,308334.39,2026-10-08T05:18
ORDER_000000006_PAYMENT,ORDER_000000006,DEBIT_CARD,SUCCESS,286336.93,2026-08-30T16:11:13
ORDER_000000007_PAYMENT,ORDER_000000007,UPI,SUCCESS,79884.72,2026-08-18T06:43:04
ORDER_000000008_PAYMENT,ORDER_000000008,CREDIT_CARD,SUCCESS,5135.10,2026-12-08T14:01:47
ORDER_000000009_PAYMENT,ORDER_000000009,DEBIT_CARD,SUCCESS,21532.47,2026-07-31T00:26:32
ORDER_000000010_PAYMENT,ORDER_000000010,UPI,SUCCESS,172254.73,2026-04-08T06:14:30
ORDER_000000011_PAYMENT,ORDER_000000011,NET_BANKING,SUCCESS,89566.31,2026-07-25T11:57:34
ORDER_000000012_PAYMENT,ORDER_000000012,CREDIT_CARD,SUCCESS,16114.48,2026-10-24T22:37:04
ORDER_000000013_PAYMENT,ORDER_000000013,NET_BANKING,SUCCESS,212440.75,2026-03-29T05:42:56
ORDER_000000014_PAYMENT,ORDER_000000014,DEBIT_CARD,SUCCESS,164175.26,2026-11-23T14:46:43
ORDER_000000015_PAYMENT,ORDER_000000015,WALLET,FAILED,22164.50,2026-09-08T22:41:59
ORDER_000000016_PAYMENT,ORDER_000000016,CREDIT_CARD,SUCCESS,76354.25,2026-03-29T05:05:37
ORDER_000000017_PAYMENT,ORDER_000000017,DEBIT_CARD,SUCCESS,93753.78,2026-06-12T02:03:31
ORDER_000000018_PAYMENT,ORDER_000000018,UPI,SUCCESS,204225.20,2026-02-06T19:55:59
ORDER_000000019_PAYMENT,ORDER_000000019,CREDIT_CARD,SUCCESS,297490.47,2026-03-26T13:18:29
ORDER_000000020_PAYMENT,ORDER_000000020,DEBIT_CARD,SUCCESS,55449.91,2026-06-24T07:59:44
ORDER_000000021_PAYMENT,ORDER_000000021,CREDIT_CARD,SUCCESS,605821.96,2026-11-13T01:41:24
ORDER_000000022_PAYMENT,ORDER_000000022,NET_BANKING,SUCCESS,154475.22,2026-06-12T17:58:13
ORDER_000000023_PAYMENT,ORDER_000000023,NET_BANKING,FAILED,24222.40,2026-05-15T00:13:43
ORDER_000000024_PAYMENT,ORDER_000000024,WALLET,SUCCESS,243807.77,2026-08-23T07:34:26
ORDER_000000025_PAYMENT,ORDER_000000025,UPI,FAILED,307832.14,2026-12-09T14:40:57
ORDER_000000026_PAYMENT,ORDER_000000026,UPI,SUCCESS,44413.59,2026-05-06T15:13:09
ORDER_000000027_PAYMENT,ORDER_000000027,DEBIT_CARD,SUCCESS,218998.20,2026-05-16T20:10:38
ORDER_000000028_PAYMENT,ORDER_000000028,UPI,SUCCESS,10256.87,2026-01-14T05:45:23
ORDER_000000029_PAYMENT,ORDER_000000029,DEBIT_CARD,SUCCESS,54336.20,2026-06-05T21:29:15
ORDER_000000030_PAYMENT,ORDER_000000030,NET_BANKING,SUCCESS,62254.27,2026-02-22T08:39:51
ORDER_000000031_PAYMENT,ORDER_000000031,CREDIT_CARD,SUCCESS,133127.67,2026-09-07T18:45:46
ORDER_000000032_PAYMENT,ORDER_000000032,DEBIT_CARD,SUCCESS,9214.54,2026-05-09T03:52:35
ORDER_000000033_PAYMENT,ORDER_000000033,CREDIT_CARD,SUCCESS,368085.56,2026-08-10T23:20:11
ORDER_000000034_PAYMENT,ORDER_000000034,WALLET,SUCCESS,20926.24,2026-07-15T03:37:27
ORDER_000000035_PAYMENT,ORDER_000000035,NET_BANKING,SUCCESS,115737.09,2026-06-14T02:51:28
