id,name,category_id,product_type_id,brand_id,product_model_id,price
PRODUCT_000000001,Tata Consumer Premium Basmati Rice,CATEGORY_010,PRODUCT_TYPE_033,BRAND_024,PRODUCT_MODEL_071,893.35
PRODUCT_000000002,Apple iPhone 16 Pro,CATEGORY_002,PRODUCT_TYPE_004,BRAND_002,PRODUCT_MODEL_012,31649.12
PRODUCT_000000003,HP EliteBook 840,CATEGORY_003,PRODUCT_TYPE_007,BRAND_007,PRODUCT_MODEL_019,138716.42
PRODUCT_000000004,Tata Consumer Premium Basmati Rice,CATEGORY_010,PRODUCT_TYPE_033,BRAND_024,PRODUCT_MODEL_071,1510.29
PRODUCT_000000005,Nike Sportswear Dress,CATEGORY_006,PRODUCT_TYPE_019,BRAND_009,PRODUCT_MODEL_044,4190.88
PRODUCT_000000006,Nivea Apple Cider Vinegar Face Wash,CATEGORY_008,PRODUCT_TYPE_023,BRAND_016,PRODUCT_MODEL_051,874.47
PRODUCT_000000007,Nestlé Ready to Cook Meal,CATEGORY_010,PRODUCT_TYPE_034,BRAND_022,PRODUCT_MODEL_073,796.43
PRODUCT_000000008,Adidas Essentials Logo T-Shirt,CATEGORY_006,PRODUCT_TYPE_016,BRAND_010,PRODUCT_MODEL_038,2493.53
PRODUCT_000000009,Lakmé Long Stay Lipstick,CATEGORY_008,PRODUCT_TYPE_026,BRAND_017,PRODUCT_MODEL_058,643.47
PRODUCT_000000010,Samsung A55 5G,CATEGORY_002,PRODUCT_TYPE_004,BRAND_001,PRODUCT_MODEL_009,70527.40
PRODUCT_000000011,Samsung QLED Q80D,CATEGORY_004,PRODUCT_TYPE_011,BRAND_001,PRODUCT_MODEL_027,79677.89
PRODUCT_000000012,Nike Sportswear Dress,CATEGORY_006,PRODUCT_TYPE_019,BRAND_009,PRODUCT_MODEL_044,8193.40
PRODUCT_000000013,Dell Latitude 7450,CATEGORY_003,PRODUCT_TYPE_007,BRAND_006,PRODUCT_MODEL_018,98829.29
PRODUCT_000000014,ITC Whole Wheat Flour,CATEGORY_010,PRODUCT_TYPE_033,BRAND_026,PRODUCT_MODEL_072,622.63
PRODUCT_000000015,Nike Air Max 270,CATEGORY_007,PRODUCT_TYPE_020,BRAND_009,PRODUCT_MODEL_045,10747.92
PRODUCT_000000016,Penguin Random House A History of Modern India,CATEGORY_009,PRODUCT_TYPE_028,BRAND_019,PRODUCT_MODEL_061,658.82
PRODUCT_000000017,Samsung Music Frame,CATEGORY_001,PRODUCT_TYPE_003,BRAND_001,PRODUCT_MODEL_007,38230.85
PRODUCT_000000018,Nike Sportswear Dress,CATEGORY_006,PRODUCT_TYPE_019,BRAND_009,PRODUCT_MODEL_044,2714.72
PRODUCT_000000019,Dell XPS 13,CATEGORY_003,PRODUCT_TYPE_008,BRAND_006,PRODUCT_MODEL_021,54152.42
PRODUCT_000000020,Apple Watch Series 10,CATEGORY_001,PRODUCT_TYPE_001,BRAND_002,PRODUCT_MODEL_002,19708.65
PRODUCT_000000021,LG NeoChef Microwave Oven,CATEGORY_005,PRODUCT_TYPE_015,BRAND_003,PRODUCT_MODEL_036,10388.55
PRODUCT_000000022,Dell Latitude 7450,CATEGORY_003,PRODUCT_TYPE_007,BRAND_006,PRODUCT_MODEL_018,147330.83
PRODUCT_000000023,Samsung A55 5G,CATEGORY_002,PRODUCT_TYPE_004,BRAND_001,PRODUCT_MODEL_009,44952.46
PRODUCT_000000024,Samsung Watch 7,CATEGORY_001,PRODUCT_TYPE_001,BRAND_001,PRODUCT_MODEL_001,16248.22
PRODUCT_000000025,Lenovo Yoga Slim 7,CATEGORY_003,PRODUCT_TYPE_008,BRAND_008,PRODUCT_MODEL_020,101321.01
PRODUCT_000000026,Samsung Buds3 Pro,CATEGORY_001,PRODUCT_TYPE_002,BRAND_001,PRODUCT_MODEL_004,23860.69
PRODUCT_000000027,OnePlus 13,CATEGORY_002,PRODUCT_TYPE_004,BRAND_005,PRODUCT_MODEL_013,100588.54
PRODUCT_000000028,Samsung Music Frame,CATEGORY_001,PRODUCT_TYPE_003,BRAND_001,PRODUCT_MODEL_007,40015.64
PRODUCT_000000029,ITC Whole Wheat Flour,CATEGORY_010,PRODUCT_TYPE_033,BRAND_026,PRODUCT_MODEL_072,1536.00
PRODUCT_000000030,Dell XPS 13,CATEGORY_003,PRODUCT_TYPE_008,BRAND_006,PRODUCT_MODEL_021,78585.65
PRODUCT_000000031,Nike Club Denim,CATEGORY_006,PRODUCT_TYPE_017,BRAND_009,PRODUCT_MODEL_039,6379.29
PRODUCT_000000032,Britannia Premium Snack Pack,CATEGORY_010,PRODUCT_TYPE_031,BRAND_023,PRODUCT_MODEL_067,157.69
PRODUCT_000000033,Nestlé Ready to Cook Meal,CATEGORY_010,PRODUCT_TYPE_034,BRAND_022,PRODUCT_MODEL_073,465.06
PRODUCT_000000034,L'Oréal Daily Repair Shampoo,CATEGORY_008,PRODUCT_TYPE_025,BRAND_015,PRODUCT_MODEL_055,546.48
PRODUCT_000000035,Adidas Adicolor Dress,CATEGORY_006,PRODUCT_TYPE_019,BRAND_010,PRODUCT_MODEL_043,4095.44
PRODUCT_000000036,OnePlus 13,CATEGORY_002,PRODUCT_TYPE_004,BRAND_005,PRODUCT_MODEL_013,32946.23
PRODUCT_000000037,OnePlus Watch 2,CATEGORY_001,PRODUCT_TYPE_001,BRAND_005,PRODUCT_MODEL_003,13933.53
PRODUCT_000000038,LG Smart Inverter Refrigerator,CATEGORY_005,PRODUCT_TYPE_012,BRAND_003,PRODUCT_MODEL_029,58198.60
PRODUCT_000000039,Samsung S25,CATEGORY_002,PRODUCT_TYPE_004,BRAND_001,PRODUCT_MODEL_010,19028.57
PRODUCT_000000040,Adidas Adicolor Denim Jeans,CATEGORY_006,PRODUCT_TYPE_017,BRAND_010,PRODUCT_MODEL_040,1657.37
PRODUCT_000000041,Sony SRS-XV800,CATEGORY_001,PRODUCT_TYPE_003,BRAND_004,PRODUCT_MODEL_008,16504.14
PRODUCT_000000042,Samsung QLED Q80D,CATEGORY_004,PRODUCT_TYPE_011,BRAND_001,PRODUCT_MODEL_027,137541.60
PRODUCT_000000043,Samsung Crystal UHD DU8000,CATEGORY_004,PRODUCT_TYPE_009,BRAND_001,PRODUCT_MODEL_024,173957.75
PRODUCT_000000044,OnePlus 13,CATEGORY_002,PRODUCT_TYPE_004,BRAND_005,PRODUCT_MODEL_013,31247.75
PRODUCT_000000045,Samsung A55 5G,CATEGORY_002,PRODUCT_TYPE_004,BRAND_001,PRODUCT_MODEL_009,24544.15
PRODUCT_000000046,Nike Pegasus 41,CATEGORY_007,PRODUCT_TYPE_022,BRAND_009,PRODUCT_MODEL_049,6409.66
PRODUCT_000000047,Sony SRS-XV800,CATEGORY_001,PRODUCT_TYPE_003,BRAND_004,PRODUCT_MODEL_008,9731.35
