id,order_id,return_reason,return_status,return_date
ORDER_000000017_RETURN,ORDER_000000017,DAMAGED,REJECTED,2026-07-09T10:03:31
ORDER_000000026_RETURN,ORDER_000000026,DAMAGED,REJECTED,2026-06-09T11:13:09
ORDER_000000035_RETURN,ORDER_000000035,NOT_AS_EXPECTED,RECEIVED,2026-06-24T11:51:28
ORDER_000000040_RETURN,ORDER_000000040,SIZE_ISSUE,APPROVED,2026-06-14T04:33:10
ORDER_000000043_RETURN,ORDER_000000043,DAMAGED,REFUNDED,2026-07-21T19:49:09
ORDER_000000047_RETURN,ORDER_000000047,WRONG_ITEM,REFUNDED,2026-10-27T04:45:08
ORDER_000000057_RETURN,ORDER_000000057,CHANGED_MIND,REQUESTED,2026-01-22T21:24:59
ORDER_000000058_RETURN,ORDER_000000058,WRONG_ITEM,RECEIVED,2026-03-31T17:48:55
ORDER_000000065_RETURN,ORDER_000000065,NOT_AS_EXPECTED,REFUNDED,2026-08-18T07:15:30
ORDER_000000093_RETURN,ORDER_000000093,CHANGED_MIND,REJECTED,2026-12-25T12:06:48
ORDER_000000159_RETURN,ORDER_000000159,SIZE_ISSUE,REJECTED,2026-10-07T23:06:10
ORDER_000000189_RETURN,ORDER_000000189,CHANGED_MIND,REQUESTED,2026-10-01T01:06:51
ORDER_000000190_RETURN,ORDER_000000190,WRONG_ITEM,APPROVED,2027-01-20T10:30:10
ORDER_000000198_RETURN,ORDER_000000198,DAMAGED,REJECTED,2026-06-12T00:10:34
ORDER_000000214_RETURN,ORDER_000000214,SIZE_ISSUE,REQUESTED,2026-09-29T16:19:53
ORDER_000000277_RETURN,ORDER_000000277,CHANGED_MIND,RECEIVED,2026-01-30T07:15:32
ORDER_000000281_RETURN,ORDER_000000281,NOT_AS_EXPECTED,REQUESTED,2026-09-27T07:03:03
ORDER_000000303_RETURN,ORDER_000000303,WRONG_ITEM,REQUESTED,2026-05-23T00:15:45
ORDER_000000305_RETURN,ORDER_000000305,CHANGED_MIND,REJECTED,2026-11-08T17:29:27
