id,order_id,shipment_status,shipped_date,delivered_date
ORDER_000000001_SHIPMENT,ORDER_000000001,IN_TRANSIT,2026-12-05T16:44:30,
ORDER_000000002_SHIPMENT,ORDER_000000002,DELIVERED,2026-01-29T19:27:22,2026-01-31T15:27:22
ORDER_000000003_SHIPMENT,ORDER_000000003,DELIVERED,2026-11-29T20:24:03,2026-12-03T21:24:03
ORDER_000000004_SHIPMENT,ORDER_000000004,PROCESSING,,
ORDER_000000005_SHIPMENT,ORDER_000000005,DELIVERED,2026-10-09T20:18,2026-10-13T22:18
ORDER_000000006_SHIPMENT,ORDER_000000006,PROCESSING,,
ORDER_000000007_SHIPMENT,ORDER_000000007,DELIVERED,2026-08-20T03:43:04,2026-08-25T10:43:04
ORDER_000000008_SHIPMENT,ORDER_000000008,DELIVERED,2026-12-09T13:01:47,2026-12-10T20:01:47
ORDER_000000009_SHIPMENT,ORDER_000000009,DELIVERED,2026-08-01T22:26:32,2026-08-08T20:26:32
ORDER_000000010_SHIPMENT,ORDER_000000010,DELIVERED,2026-04-10T12:14:30,2026-04-12T13:14:30
ORDER_000000011_SHIPMENT,ORDER_000000011,DELIVERED,2026-07-25T12:57:34,2026-07-26T00:57:34
ORDER_000000012_SHIPMENT,ORDER_000000012,DELIVERED,2026-10-27T02:37:04,2026-10-30T12:37:04
ORDER_000000013_SHIPMENT,ORDER_000000013,PROCESSING,,
ORDER_000000014_SHIPMENT,ORDER_000000014,PROCESSING,,
ORDER_000000015_SHIPMENT,ORDER_000000015,PROCESSING,,
ORDER_000000016_SHIPMENT,ORDER_000000016,DELIVERED,2026-04-01T05:05:37,2026-04-06T22:05:37
ORDER_000000017_SHIPMENT,ORDER_000000017,DELIVERED,2026-06-13T05:03:31,2026-06-19T09:03:31
ORDER_000000018_SHIPMENT,ORDER_000000018,DELIVERED,2026-02-09T17:55:59,2026-02-12T04:55:59
ORDER_000000019_SHIPMENT,ORDER_000000019,PROCESSING,,
ORDER_000000020_SHIPMENT,ORDER_000000020,IN_TRANSIT,2026-06-26T02:59:44,
ORDER_000000021_SHIPMENT,ORDER_000000021,PROCESSING,,
ORDER_000000022_SHIPMENT,ORDER_000000022,IN_TRANSIT,2026-06-14T15:58:13,
ORDER_000000023_SHIPMENT,ORDER_000000023,PROCESSING,,
ORDER_000000024_SHIPMENT,ORDER_000000024,DELIVERED,2026-08-25T22:34:26,2026-08-31T07:34:26
ORDER_000000025_SHIPMENT,ORDER_000000025,PROCESSING,,
ORDER_000000026_SHIPMENT,ORDER_000000026,DELIVERED,2026-05-08T18:13:09,2026-05-15T11:13:09
ORDER_000000027_SHIPMENT,ORDER_000000027,IN_TRANSIT,2026-05-19T03:10:38,
ORDER_000000028_SHIPMENT,ORDER_000000028,IN_TRANSIT,2026-01-17T03:45:23,
ORDER_000000029_SHIPMENT,ORDER_000000029,DELIVERED,2026-06-06T18:29:15,2026-06-12T02:29:15
ORDER_000000030_SHIPMENT,ORDER_000000030,IN_TRANSIT,2026-02-23T18:39:51,
ORDER_000000031_SHIPMENT,ORDER_000000031,DELIVERED,2026-09-10T14:45:46,2026-09-14T03:45:46
ORDER_000000032_SHIPMENT,ORDER_000000032,DELIVERED,2026-05-11T07:52:35,2026-05-12T21:52:35
ORDER_000000033_SHIPMENT,ORDER_000000033,IN_TRANSIT,2026-08-12T13:20:11,
ORDER_000000034_SHIPMENT,ORDER_000000034,PROCESSING,,
ORDER_000000035_SHIPMENT,ORDER_000000035,DELIVERED,2026-06-16T10:51:28,2026-06-23T00:51:28
ORDER_000000036_SHIPMENT,ORDER_000000036,DELIVERED,2026-04-15T18:32:03,2026-04-19T04:32:03
ORDER_000000037_SHIPMENT,ORDER_000000037,DELIVERED,2026-03-03T16:10:49,2026-03-09T01:10:49
ORDER_000000038_SHIPMENT,ORDER_000000038,DELIVERED,2026-05-07T22:31:28,2026-05-14T14:31:28
ORDER_000000039_SHIPMENT,ORDER_000000039,DELIVERED,2026-04-03T12:53:01,2026-04-08T14:53:01
ORDER_000000040_SHIPMENT,ORDER_000000040,DELIVERED,2026-06-01T16:33:10,2026-06-03T13:33:10
ORDER_000000041_SHIPMENT,ORDER_000000041,DELIVERED,2026-03-26T11:16:54,2026-03-29T22:16:54
ORDER_000000042_SHIPMENT,ORDER_000000042,PROCESSING,,
ORDER_000000043_SHIPMENT,ORDER_000000043,DELIVERED,2026-07-10T18:49:09,2026-07-16T10:49:09
ORDER_000000044_SHIPMENT,ORDER_000000044,DELIVERED,2026-05-02T01:27:04,2026-05-04T06:27:04
ORDER_000000045_SHIPMENT,ORDER_000000045,DELIVERED,2026-02-05T00:40:40,2026-02-11T16:40:40
ORDER_000000046_SHIPMENT,ORDER_000000046,DELIVERED,2026-07-17T06:48:11,2026-07-18T09:48:11
ORDER_000000047_SHIPMENT,ORDER_000000047,DELIVERED,2026-10-10T08:45:08,2026-10-13T13:45:08
ORDER_000000048_SHIPMENT,ORDER_000000048,PROCESSING,,
ORDER_000000049_SHIPMENT,ORDER_000000049,DELIVERED,2026-09-27T23:09:36,2026-09-29T04:09:36
ORDER_000000050_SHIPMENT,ORDER_000000050,IN_TRANSIT,2026-09-22T09:36:33,
ORDER_000000051_SHIPMENT,ORDER_000000051,DELIVERED,2026-01-13T11:40:53,2026-01-19T03:40:53
ORDER_000000052_SHIPMENT,ORDER_000000052,DELIVERED,2026-12-14T13:49:25,2026-12-17T09:49:25
ORDER_000000053_SHIPMENT,ORDER_000000053,DELIVERED,2026-07-07T15:49:29,2026-07-11T17:49:29
ORDER_000000054_SHIPMENT,ORDER_000000054,IN_TRANSIT,2026-06-18T09:09:34,
ORDER_000000055_SHIPMENT,ORDER_000000055,PROCESSING,,
ORDER_000000056_SHIPMENT,ORDER_000000056,DELIVERED,2026-04-14T13:09:57,2026-04-18T01:09:57
ORDER_000000057_SHIPMENT,ORDER_000000057,DELIVERED,2026-01-17T07:24:59,2026-01-21T03:24:59
ORDER_000000058_SHIPMENT,ORDER_000000058,DELIVERED,2026-03-22T21:48:55,2026-03-24T02:48:55
ORDER_000000059_SHIPMENT,ORDER_000000059,PROCESSING,,
ORDER_000000060_SHIPMENT,ORDER_000000060,PROCESSING,,
ORDER_000000061_SHIPMENT,ORDER_000000061,DELIVERED,2026-03-08T19:40:42,2026-03-10T03:40:42
ORDER_000000062_SHIPMENT,ORDER_000000062,DELIVERED,2026-02-09T07:41:52,2026-02-13T12:41:52
ORDER_000000063_SHIPMENT,ORDER_000000063,DELIVERED,2026-06-25T14:50:54,2026-06-26T09:50:54
ORDER_000000064_SHIPMENT,ORDER_000000064,IN_TRANSIT,2026-11-28T01:42:53,
ORDER_000000065_SHIPMENT,ORDER_000000065,DELIVERED,2026-07-20T07:15:30,2026-07-21T05:15:30
ORDER_000000066_SHIPMENT,ORDER_000000066,DELIVERED,2026-08-10T22:16:44,2026-08-16T19:16:44
ORDER_000000067_SHIPMENT,ORDER_000000067,DELIVERED,2026-11-06T14:07:27,2026-11-08T00:07:27
ORDER_000000068_SHIPMENT,ORDER_000000068,IN_TRANSIT,2026-11-14T08:28:37,
ORDER_000000069_SHIPMENT,ORDER_000000069,DELIVERED,2026-04-05T21:07:37,2026-04-08T20:07:37
ORDER_000000070_SHIPMENT,ORDER_000000070,IN_TRANSIT,2026-08-26T16:23:50,
ORDER_000000071_SHIPMENT,ORDER_000000071,IN_TRANSIT,2026-09-30T05:33:05,
